City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Ribeira Grande,PT,71.55,broken clouds,38.5167,-28.7,Quinta da Meia Eira
2,Rikitea,PF,74.26,light rain,-23.1203,-134.9692,People ThankYou
3,East London,ZA,63.63,broken clouds,-33.0153,27.9116,Tu Casa
4,Vanimo,PG,77.76,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
5,Bethel,US,65.08,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
6,Jalu,LY,67.62,clear sky,29.0331,21.5482,صاحبة الفخامة
7,Zaraza,VE,76.98,overcast clouds,9.3503,-65.3245,Hotel Zaraza
10,Pisco,PE,64.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
11,Caravelas,BR,73.71,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
13,Albany,US,61.81,few clouds,42.6001,-73.9662,
14,Tuatapere,NZ,62.8,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
18,Mataura,NZ,61.92,broken clouds,-46.1927,168.8643,Ellie's Villa
20,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
22,Bredasdorp,ZA,61.29,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
23,Lumphat,KH,72.72,overcast clouds,13.4878,106.9816,Lumphat Homestay
25,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
28,Hermanus,ZA,61.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
29,Namibe,AO,61.14,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
38,Port Alfred,ZA,64.42,few clouds,-33.5906,26.891,The Halyards Hotel
39,Coihueco,CL,65.14,clear sky,-36.6167,-71.8333,Frutillares Coihueco
41,Maracaju,BR,79.18,broken clouds,-21.6144,-55.1683,Maracaju Plaza Hotel - Hospedagem - Maracaju/MS
43,Jamestown,US,69.44,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
44,Cape Town,ZA,63.27,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
45,Puerto Ayora,EC,68.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
48,Mahebourg,MU,72.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
49,Taos,US,70.2,broken clouds,36.4072,-105.5731,El Monte Sagrado
50,Santa Lucia,ES,65.12,few clouds,27.9117,-15.5407,Las Tirajanas
51,Castro,BR,64.33,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
54,Coromandel,BR,76.21,scattered clouds,-18.4733,-47.2003,Hotel Dona Adélia
55,Ambon,ID,75.34,thunderstorm with light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
57,Quelimane,MZ,73.35,clear sky,-17.8786,36.8883,Hotel Flamingo
61,Eureka,US,63.68,few clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
63,Bengkulu,ID,73.74,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
65,Hasaki,JP,68.4,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
69,Tateyama,JP,72.01,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
71,Kondagaon,IN,69.53,scattered clouds,19.6,81.6667,AYAN MOTER
75,Sao Joao Da Barra,BR,71.49,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
77,Sakaiminato,JP,69.73,few clouds,35.55,133.2333,味処・民宿 まつや
78,Laguna,US,79.14,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
79,Atuona,PF,78.84,few clouds,-9.8,-139.0333,Villa Enata
80,Mogadishu,SO,77.45,broken clouds,2.0371,45.3438,Hotel Juba
84,Prado,BR,73.94,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
85,Arraial Do Cabo,BR,71.56,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
87,Bousso,TD,77.47,scattered clouds,10.4795,16.7117,
89,Itarema,BR,79.48,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
92,Nara,JP,72.72,clear sky,34.6851,135.8049,Guesthouse Nara Komachi
104,Hualmay,PE,63.46,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
105,Palmer,US,64.08,few clouds,42.1584,-72.3287,Wedgewood Motel
107,Jilib,SO,74.34,overcast clouds,0.4883,42.7854,
110,Jijiang,CN,69.37,overcast clouds,29.2906,106.2542,Chongqing Jiangjin Hotel
112,Flagstaff,US,68.31,clear sky,35.1981,-111.6513,Drury Inn & Suites Flagstaff
117,Saint-Philippe,RE,69.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
119,Airai,TL,74.77,few clouds,-8.9266,125.4092,Juvinal Martin
127,Souillac,MU,72.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
129,Dharmadam,IN,76.35,overcast clouds,11.7833,75.4333,Samudra Homes
131,Suicheng,CN,62.26,broken clouds,33.8963,117.9331,Junyue Hotel
137,Surt,LY,72.05,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
139,Moura,PT,68.11,clear sky,38.1401,-7.4486,Hotel de Moura
140,Lagoa,PT,70.7,scattered clouds,39.05,-27.9833,Casa Das Faias
141,Porto,PT,68.29,clear sky,41.1496,-8.611,Pestana Vintage Porto
144,Arrecife,ES,73.47,few clouds,28.963,-13.5477,Hotel Lancelot
