City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ribeira Grande,PT,38.5167,-28.7,71.55,88,61,11.74,broken clouds
1,Kampot,KH,10.6167,104.1833,80.65,90,100,6.44,overcast clouds
2,Rikitea,PF,-23.1203,-134.9692,74.26,78,99,15.95,light rain
3,East London,ZA,-33.0153,27.9116,63.63,87,63,12.12,broken clouds
4,Vanimo,PG,-2.6741,141.3028,77.76,88,100,4.7,light rain
5,Bethel,US,41.3712,-73.414,65.08,89,90,0.0,overcast clouds
6,Jalu,LY,29.0331,21.5482,67.62,52,0,7.18,clear sky
7,Zaraza,VE,9.3503,-65.3245,76.98,88,94,6.69,overcast clouds
8,Vaini,TO,-21.2,-175.2,80.76,89,40,11.5,scattered clouds
9,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,88.77,32,69,1.9,broken clouds
10,Pisco,PE,-13.7,-76.2167,64.45,77,0,14.97,clear sky
11,Caravelas,BR,-17.7125,-39.2481,73.71,90,6,3.51,clear sky
12,Kapaa,US,22.0752,-159.319,84.18,73,40,4.0,scattered clouds
13,Albany,US,42.6001,-73.9662,61.81,90,23,2.59,few clouds
14,Tuatapere,NZ,-46.1333,167.6833,62.8,52,92,6.11,overcast clouds
15,Pinega,RU,64.7001,43.3936,45.3,80,100,11.74,overcast clouds
16,Norman Wells,CA,65.282,-126.8329,35.64,75,20,9.22,few clouds
17,Bodaybo,RU,57.8506,114.1933,31.15,80,99,6.8,overcast clouds
18,Mataura,NZ,-46.1927,168.8643,61.92,52,78,2.08,broken clouds
19,Kenai,US,60.5544,-151.2583,45.03,94,90,0.0,moderate rain
20,Avarua,CK,-21.2078,-159.775,78.85,65,20,14.97,few clouds
21,Nikolskoye,RU,59.7035,30.7861,49.39,73,2,10.16,clear sky
22,Bredasdorp,ZA,-34.5322,20.0403,61.29,88,41,12.66,scattered clouds
23,Lumphat,KH,13.4878,106.9816,72.72,99,100,5.21,overcast clouds
24,Butaritari,KI,3.0707,172.7902,81.99,69,59,14.54,broken clouds
25,Padang,ID,-0.9492,100.3543,75.25,83,100,2.77,overcast clouds
26,Lebu,CL,-37.6167,-73.65,51.76,77,0,17.74,clear sky
27,Primorsk,UA,46.7348,36.3443,48.13,54,9,23.69,clear sky
28,Hermanus,ZA,-34.4187,19.2345,61.81,87,3,14.56,clear sky
29,Namibe,AO,-15.1961,12.1522,61.14,86,64,8.41,broken clouds
30,Cherskiy,RU,68.75,161.3,13.84,95,95,6.8,overcast clouds
31,Busselton,AU,-33.65,115.3333,56.05,80,100,9.1,overcast clouds
32,Lavrentiya,RU,65.5833,-171.0,36.91,97,100,7.31,overcast clouds
33,Zherdevka,RU,51.8486,41.4606,40.21,57,100,4.81,light rain
34,Severo-Kurilsk,RU,50.6789,156.125,46.29,68,42,11.88,scattered clouds
35,Ushuaia,AR,-54.8,-68.3,40.66,93,75,27.63,heavy intensity rain
36,Tasiilaq,GL,65.6145,-37.6368,32.16,61,0,5.44,clear sky
37,Esperance,AU,-33.8667,121.9,51.64,60,86,9.28,overcast clouds
38,Port Alfred,ZA,-33.5906,26.891,64.42,88,13,19.08,few clouds
39,Coihueco,CL,-36.6167,-71.8333,65.14,39,0,5.75,clear sky
40,Auki,SB,-8.7676,160.7034,85.1,68,69,2.66,broken clouds
41,Maracaju,BR,-21.6144,-55.1683,79.18,67,84,2.93,broken clouds
42,San Patricio,US,28.017,-97.5169,86.72,49,0,10.45,clear sky
43,Jamestown,US,42.097,-79.2353,69.44,80,1,5.75,clear sky
44,Cape Town,ZA,-33.9258,18.4232,63.27,68,0,1.99,clear sky
45,Puerto Ayora,EC,-0.7393,-90.3518,68.56,95,91,5.01,overcast clouds
46,Makakilo City,US,21.3469,-158.0858,86.32,49,40,10.36,scattered clouds
47,Buala,SB,-8.145,159.5921,85.33,69,58,7.65,light rain
48,Mahebourg,MU,-20.4081,57.7,72.25,94,40,6.91,scattered clouds
49,Taos,US,36.4072,-105.5731,70.2,36,75,10.0,broken clouds
50,Santa Lucia,ES,27.9117,-15.5407,65.12,76,20,13.8,few clouds
51,Castro,BR,-24.7911,-50.0119,64.33,94,98,1.1,overcast clouds
52,Hithadhoo,MV,-0.6,73.0833,83.41,74,60,11.56,broken clouds
53,Biloela,AU,-24.4167,150.5,80.49,27,2,9.04,clear sky
54,Coromandel,BR,-18.4733,-47.2003,76.21,51,33,9.24,scattered clouds
55,Ambon,ID,-3.6954,128.1814,75.34,94,75,6.91,thunderstorm with light rain
56,Viedma,AR,-40.8135,-62.9967,40.98,57,0,8.14,clear sky
57,Quelimane,MZ,-17.8786,36.8883,73.35,83,0,5.01,clear sky
58,Saryozek,KZ,44.3583,77.9753,27.7,64,53,2.1,broken clouds
59,Pevek,RU,69.7008,170.3133,26.55,76,100,11.45,overcast clouds
