City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Luanda,AO,2021-10-02 12:39:24,-8.8368,13.2343,80.6,69,75,11.5
1,Istok,XK,2021-10-02 12:39:54,42.7808,20.4875,67.15,41,0,3.8
2,Chokwe,MZ,2021-10-02 12:39:54,-24.5333,32.9833,96.37,21,100,10.56
3,Albany,US,2021-10-02 12:32:24,42.6001,-73.9662,54.3,94,92,3.94
4,Ushuaia,AR,2021-10-02 12:34:43,-54.8,-68.3,35.26,69,75,1.14
5,Punta Arenas,CL,2021-10-02 12:34:51,-53.15,-70.9167,37.51,75,0,16.11
6,Souillac,MU,2021-10-02 12:35:00,-20.5167,57.5167,77.38,69,75,16.11
7,Ust-Kuyga,RU,2021-10-02 12:39:54,70.0167,135.6,15.87,98,72,1.72
8,Saskylakh,RU,2021-10-02 12:34:55,71.9167,114.0833,15.78,98,99,3.53
9,Sibu,MY,2021-10-02 12:38:15,2.3,111.8167,80.91,88,40,5.01
10,Hilo,US,2021-10-02 12:30:32,19.7297,-155.09,73.8,91,90,6.91
11,Chuy,UY,2021-10-02 12:35:13,-33.6971,-53.4616,62.04,60,0,8.63
12,Longyearbyen,SJ,2021-10-02 12:36:30,78.2186,15.6401,37.24,87,75,4.61
13,Qaqortoq,GL,2021-10-02 12:37:08,60.7167,-46.0333,30.7,42,0,4.36
14,Butaritari,KI,2021-10-02 12:34:50,3.0707,172.7902,82.9,71,95,18.84
15,Iskateley,RU,2021-10-02 12:39:55,67.6803,53.1512,39.88,66,100,3.71
16,Necochea,AR,2021-10-02 12:37:13,-38.5473,-58.7368,54.03,69,100,11.5
17,Waw,SS,2021-10-02 12:39:56,7.7029,27.9953,83.53,66,97,7.11
18,Sao Filipe,CV,2021-10-02 12:34:47,14.8961,-24.4956,80.92,75,63,5.91
19,Faanui,PF,2021-10-02 12:35:20,-16.4833,-151.75,79.2,72,62,20.94
20,Lagoa,PT,2021-10-02 12:34:52,39.05,-27.9833,70.9,90,14,18.57
21,Jambi,ID,2021-10-02 12:39:56,-1.6,103.6167,75.81,90,100,2.24
22,Kutum,SD,2021-10-02 12:39:56,14.2,24.6667,88.93,14,0,5.28
23,Ribeira Grande,PT,2021-10-02 12:35:32,38.5167,-28.7,75.6,78,20,12.66
24,Kirakira,SB,2021-10-02 12:36:51,-10.4544,161.9205,78.51,84,44,1.81
25,Sisimiut,GL,2021-10-02 12:39:57,66.9395,-53.6735,34.95,75,15,5.3
26,Vaini,TO,2021-10-02 12:35:08,-21.2,-175.2,73.56,88,75,9.22
27,Iqaluit,CA,2021-10-02 12:35:44,63.7506,-68.5145,29.93,80,40,3.0
28,Port Alfred,ZA,2021-10-02 12:30:08,-33.5906,26.891,62.01,63,40,36.44
29,Galesong,ID,2021-10-02 12:39:57,-5.3166,119.3661,78.82,74,17,7.83
30,Port-Gentil,GA,2021-10-02 12:35:42,-0.7193,8.7815,85.96,70,40,14.97
31,Minden,DE,2021-10-02 12:39:58,52.2833,8.9167,64.33,80,100,9.22
32,Airai,TL,2021-10-02 12:35:24,-8.9266,125.4092,62.1,86,100,0.83
33,Tasiilaq,GL,2021-10-02 12:35:20,65.6145,-37.6368,37.56,54,100,6.11
34,Kodiak,US,2021-10-02 12:34:37,57.79,-152.4072,34.52,60,6,25.5
35,Carnarvon,AU,2021-10-02 12:35:47,-24.8667,113.6333,66.27,63,40,18.41
36,Lebu,CL,2021-10-02 12:35:21,-37.6167,-73.65,49.24,59,38,13.58
37,Constitucion,CL,2021-10-02 12:31:31,-35.3333,-72.4167,49.98,67,4,10.87
38,Amsterdam,NL,2021-10-02 12:39:58,52.374,4.8897,62.96,82,40,7.0
39,Dikson,RU,2021-10-02 12:36:52,73.5069,80.5464,32.54,91,99,12.21
40,Tommot,RU,2021-10-02 12:37:08,58.9564,126.2925,30.43,92,99,4.68
41,Yellowknife,CA,2021-10-02 12:34:46,62.456,-114.3525,44.42,99,40,5.01
42,Jamestown,US,2021-10-02 12:32:20,42.097,-79.2353,56.79,93,1,6.91
43,Mabaruma,GY,2021-10-02 12:34:40,8.2,-59.7833,80.85,87,93,4.74
44,Hobart,AU,2021-10-02 12:34:46,-42.8794,147.3294,54.27,96,75,1.01
45,Nome,US,2021-10-02 12:35:52,64.5011,-165.4064,31.15,80,1,6.91
46,Qui Nhon,VN,2021-10-02 12:37:20,13.7667,109.2333,80.69,80,99,1.88
